"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2016","11,947","12,499","12,499","11,923","251.10K","-3.61%"
"Sep 30, 2016","12,394","11,796","12,473","11,720","645.54K","3.69%"
"Sep 29, 2016","11,953","11,700","12,223","11,700","916.93K","3.08%"
"Sep 28, 2016","11,596","11,393","11,812","11,393","469.01K","2.70%"
"Sep 27, 2016","11,291","11,500","11,845","11,104","1.30M","-1.95%"
"Sep 26, 2016","11,516","11,830","12,049","11,501","340.71K","-2.56%"
"Sep 23, 2016","11,818","11,875","11,875","11,605","452.56K","1.41%"
"Sep 22, 2016","11,654","11,709","11,948","11,654","436.20K","1.12%"
"Sep 21, 2016","11,525","11,579","11,810","11,452","612.27K","1.10%"
"Sep 20, 2016","11,400","11,781","11,985","11,400","739.99K","-3.80%"
"Sep 19, 2016","11,850","11,800","12,132","11,740","675.60K","0.69%"
"Sep 16, 2016","11,769","11,842","12,300","11,760","752.02K","-1.93%"
"Sep 15, 2016","12,000","12,200","12,689","11,821","613.37K","-0.29%"
"Sep 14, 2016","12,035","12,450","12,499","11,717","911.19K","-3.91%"
"Sep 13, 2016","12,525","13,330","13,340","12,249","1.89M","-5.47%"
"Sep 12, 2016","13,250","13,300","13,448","12,912","900.06K","-4.15%"
"Sep 09, 2016","13,823","13,400","14,035","13,300","797.85K","3.15%"
"Sep 08, 2016","13,401","13,451","14,159","13,396","956.24K","-2.41%"
"Sep 07, 2016","13,732","14,099","14,495","13,732","720.60K","-2.60%"
"Sep 06, 2016","14,098","13,760","14,200","13,600","221.09K","2.46%"
"Sep 05, 2016","13,760","13,500","14,000","13,315","299.88K","2.69%"
"Sep 02, 2016","13,400","13,399","13,706","13,208","253.11K","0.01%"
"Sep 01, 2016","13,399","13,385","13,430","12,952","449.13K","0.10%"
"Aug 31, 2016","13,385","13,300","13,457","12,986","490.24K","-0.85%"
"Aug 30, 2016","13,500","13,500","13,602","13,305","151.61K","-0.05%"
"Aug 29, 2016","13,507","13,373","13,700","12,815","297.64K","0.13%"
"Aug 26, 2016","13,490","13,597","13,648","13,019","260.12K","-1.46%"
"Aug 25, 2016","13,690","13,599","13,690","12,983","936.95K","-0.81%"
"Aug 24, 2016","13,802","13,974","14,100","13,608","337.30K","0.47%"
"Aug 23, 2016","13,738","13,985","14,500","13,529","836.87K","-0.99%"
"Aug 22, 2016","13,875","14,134","14,134","13,500","560.46K","-1.72%"
"Aug 19, 2016","14,118","13,968","14,199","13,767","284.89K","2.30%"
"Aug 18, 2016","13,800","13,856","14,145","13,607","499.19K","-1.25%"
"Aug 17, 2016","13,974","14,170","14,378","13,700","770.35K","-1.23%"
"Aug 16, 2016","14,148","13,723","14,467","13,723","809.99K","3.44%"
"Aug 15, 2016","13,677","13,969","14,000","13,517","322.48K","-1.51%"
"Aug 12, 2016","13,887","14,500","15,099","13,311","787.17K","-3.56%"
"Aug 11, 2016","14,400","14,270","14,487","14,011","271.60K","0.22%"
"Aug 10, 2016","14,368","14,400","14,654","14,066","732.81K","-1.59%"
"Aug 08, 2016","14,600","14,326","14,900","14,300","642.72K","2.58%"
"Aug 05, 2016","14,233","14,321","14,708","13,932","795.86K","0.59%"
"Aug 04, 2016","14,150","14,739","14,999","14,150","1.07M","-4.40%"
"Aug 02, 2016","14,801","14,530","15,497","14,500","1.72M","1.82%"
"Aug 01, 2016","14,536","13,780","14,536","13,475","853.25K","7.27%"
"Jul 29, 2016","13,551","13,599","13,704","13,054","771.85K","-0.55%"
"Jul 28, 2016","13,626","13,169","13,817","12,960","782.07K","3.47%"
"Jul 27, 2016","13,169","12,500","13,257","12,500","489.18K","5.95%"
"Jul 26, 2016","12,429","12,600","12,782","12,000","769.48K","-1.75%"
"Jul 25, 2016","12,650","12,479","12,977","12,400","439.00K","0.80%"
"Jul 22, 2016","12,550","12,500","12,740","12,300","415.00K","0.21%"
"Jul 21, 2016","12,524","12,200","12,799","12,200","559.60K","4.50%"
"Jul 20, 2016","11,985","12,500","12,790","11,951","1.15M","-6.37%"
"Jul 19, 2016","12,800","12,687","12,983","12,471","641.75K","-1.91%"
"Jul 18, 2016","13,049","13,300","13,389","12,700","458.12K","-3.11%"
"Jul 15, 2016","13,468","13,400","13,690","13,003","683.31K","0.88%"
"Jul 14, 2016","13,350","12,770","13,500","12,521","962.54K","5.95%"
"Jul 13, 2016","12,600","12,750","14,050","12,546","1.21M","-0.75%"
"Jul 12, 2016","12,695","12,257","12,734","12,257","472.31K","4.66%"
"Jul 11, 2016","12,130","11,900","12,461","11,900","267.68K","2.80%"
"Jul 08, 2016","11,800","11,550","11,859","11,321","349.59K","3.31%"
"Jul 07, 2016","11,422","11,300","12,227","11,250","798.22K","1.67%"
"Jul 06, 2016","11,234","11,110","11,474","11,110","607.40K","-1.46%"
"Jul 05, 2016","11,400","11,256","11,655","11,200","634.71K","-0.74%"
"Jul 04, 2016","11,485","11,416","11,700","11,200","407.98K","3.19%"
