"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2017","13,871","13,689","13,975","13,689","2.62M","2.23%"
"Sep 15, 2017","13,568","13,772","13,959","13,568","4.68M","-1.63%"
"Sep 14, 2017","13,793","13,890","13,930","13,775","3.14M","-0.77%"
"Sep 13, 2017","13,900","14,050","14,108","13,822","2.63M","-0.71%"
"Sep 12, 2017","14,000","14,068","14,201","14,000","2.55M","-0.36%"
"Sep 11, 2017","14,050","14,200","14,347","14,050","1.68M","-1.06%"
"Sep 08, 2017","14,200","14,299","14,339","14,154","2.03M","-0.11%"
"Sep 07, 2017","14,215","14,149","14,324","13,980","3.07M","1.27%"
"Sep 06, 2017","14,037","14,678","14,678","13,974","4.76M","-6.42%"
"Sep 05, 2017","15,000","14,855","15,155","14,820","5.31M","1.24%"
"Sep 04, 2017","14,816","14,724","14,910","14,724","2.60M","-0.05%"
"Sep 01, 2017","14,824","14,838","14,944","14,671","2.36M","-0.09%"
"Aug 31, 2017","14,838","14,884","15,095","14,661","2.91M","-0.31%"
"Aug 30, 2017","14,884","15,298","15,500","14,884","2.18M","-1.61%"
"Aug 29, 2017","15,128","15,250","15,250","15,050","2.68M","-1.12%"
"Aug 28, 2017","15,299","15,347","15,449","15,210","1.32M","-0.01%"
"Aug 25, 2017","15,300","15,200","15,490","15,200","2.60M","0.33%"
"Aug 24, 2017","15,250","15,083","15,393","15,083","2.69M","1.03%"
"Aug 23, 2017","15,095","14,977","15,137","14,954","2.96M","0.43%"
"Aug 22, 2017","15,030","15,066","15,106","14,970","2.24M","0.41%"
"Aug 21, 2017","14,969","14,895","15,113","14,870","1.78M","0.72%"
"Aug 18, 2017","14,862","14,631","14,899","14,602","1.54M","0.49%"
"Aug 17, 2017","14,789","14,970","15,176","14,616","2.42M","-1.20%"
"Aug 16, 2017","14,968","14,867","15,155","14,867","1.95M","0.52%"
"Aug 15, 2017","14,890","14,968","14,997","14,811","992.19K","-0.05%"
"Aug 14, 2017","14,897","14,839","14,998","14,807","1.43M","0.51%"
"Aug 11, 2017","14,822","14,742","14,877","14,675","1.73M","0.11%"
"Aug 10, 2017","14,805","15,048","15,100","14,674","3.77M","-2.01%"
"Aug 08, 2017","15,108","15,011","15,174","14,831","3.41M","1.28%"
"Aug 07, 2017","14,917","14,650","15,081","14,634","2.53M","1.82%"
"Aug 04, 2017","14,651","14,549","14,815","14,467","3.27M","1.29%"
"Aug 03, 2017","14,465","14,300","14,600","14,300","3.03M","1.51%"
"Aug 02, 2017","14,250","14,285","14,399","14,103","2.47M","-0.35%"
"Aug 01, 2017","14,300","14,496","14,496","14,185","3.66M","-1.11%"
"Jul 31, 2017","14,460","14,558","14,622","14,330","3.12M","0.47%"
"Jul 28, 2017","14,393","14,620","14,620","14,354","3.51M","-2.16%"
"Jul 27, 2017","14,711","14,877","14,942","14,643","2.41M","0.18%"
"Jul 26, 2017","14,684","14,750","14,795","14,600","2.14M","-0.11%"
"Jul 25, 2017","14,700","14,829","14,877","14,464","2.29M","-0.28%"
"Jul 24, 2017","14,741","14,800","14,845","14,639","1.65M","0.48%"
