"Date","Price","Open","High","Low","Change %"
"Mar 09, 2016","15.2149","15.4287","15.5106","15.1306","-1.45%"
"Mar 08, 2016","15.4384","15.2476","15.4794","15.2217","1.23%"
"Mar 07, 2016","15.2510","15.3351","15.4185","15.2248","-0.68%"
"Mar 04, 2016","15.3550","15.6423","15.6996","15.2438","-1.93%"
"Mar 03, 2016","15.6573","15.5334","15.7448","15.5105","0.70%"
"Mar 02, 2016","15.5482","15.5737","15.7575","15.5228","-0.26%"
"Mar 01, 2016","15.5889","15.8517","15.8999","15.5205","-1.78%"
"Feb 29, 2016","15.8707","16.1507","16.2581","15.7366","-1.84%"
"Feb 26, 2016","16.1688","15.5718","16.3325","15.5105","3.77%"
"Feb 25, 2016","15.5812","15.5818","15.7787","15.5029","-0.11%"
"Feb 24, 2016","15.5985","15.2151","15.7672","15.1960","2.40%"
"Feb 23, 2016","15.2332","15.1787","15.3075","15.0540","0.26%"
"Feb 22, 2016","15.1932","15.4000","15.4598","15.1562","-1.33%"
"Feb 19, 2016","15.3980","15.4125","15.5425","15.3428","-0.08%"
"Feb 18, 2016","15.4100","15.4627","15.5423","15.2445","-0.41%"
"Feb 17, 2016","15.4736","15.7800","15.8838","15.4328","-2.04%"
"Feb 16, 2016","15.7955","15.7082","15.8356","15.6925","0.46%"
"Feb 15, 2016","15.7230","15.8672","15.9350","15.6930","-1.00%"
"Feb 12, 2016","15.8825","15.8275","15.9765","15.7260","0.01%"
"Feb 11, 2016","15.8811","15.8800","16.0647","15.6483","-0.03%"
"Feb 10, 2016","15.8854","16.0495","16.1023","15.7635","-1.15%"
"Feb 09, 2016","16.0696","16.1309","16.2851","15.9673","-0.52%"
"Feb 08, 2016","16.1535","16.0191","16.2245","15.8895","0.79%"
"Feb 05, 2016","16.0275","15.8449","16.0305","15.7600","1.05%"
"Feb 04, 2016","15.8616","15.9112","16.0475","15.7441","-0.42%"
"Feb 03, 2016","15.9291","16.2037","16.4400","15.9045","-1.74%"
"Feb 02, 2016","16.2117","15.8848","16.2345","15.8714","1.93%"
"Feb 01, 2016","15.9047","15.8337","16.1215","15.8337","0.09%"
"Jan 29, 2016","15.8910","16.1894","16.2425","15.8488","-1.93%"
"Jan 28, 2016","16.2042","16.4330","16.4933","16.1253","-1.48%"
"Jan 27, 2016","16.4479","16.3770","16.5010","16.2920","0.36%"
"Jan 26, 2016","16.3886","16.5282","16.6665","16.3264","-0.93%"
"Jan 25, 2016","16.5430","16.4775","16.5663","16.3845","0.46%"
"Jan 22, 2016","16.4675","16.5519","16.6492","16.3900","-0.58%"
"Jan 21, 2016","16.5638","16.7594","16.8882","16.4777","-1.17%"
"Jan 20, 2016","16.7600","16.7673","16.9730","16.7066","-0.14%"
"Jan 19, 2016","16.7834","16.8597","16.8995","16.5699","-0.55%"
"Jan 18, 2016","16.8764","16.7735","16.9825","16.6634","0.40%"
"Jan 15, 2016","16.8098","16.4383","16.8520","16.4130","2.20%"
"Jan 14, 2016","16.4479","16.5550","16.6985","16.3653","-0.73%"
"Jan 13, 2016","16.5688","16.6570","16.6965","16.3542","-0.62%"
"Jan 12, 2016","16.6720","16.7670","16.9625","16.4437","-0.65%"
"Jan 11, 2016","16.7817","16.2889","17.8434","16.2889","2.85%"
"Jan 08, 2016","16.3173","16.0555","16.3224","15.9278","1.49%"
"Jan 07, 2016","16.0770","15.8447","16.2058","15.8325","1.37%"
"Jan 06, 2016","15.8595","15.6213","15.8830","15.6100","1.43%"
"Jan 05, 2016","15.6362","15.5492","15.6931","15.4916","0.38%"
"Jan 04, 2016","15.5772","15.4812","15.6965","15.4333","0.69%"
"Jan 01, 2016","15.4710","15.4560","15.4846","15.4485","-0.04%"
"Dec 31, 2015","15.4765","15.5318","15.6656","15.4375","-0.48%"
"Dec 30, 2015","15.5513","15.2874","15.6035","15.2687","1.63%"
"Dec 29, 2015","15.3025","15.2942","15.3383","15.2554","-0.04%"
"Dec 28, 2015","15.3088","15.2073","15.3385","15.1406","0.15%"
"Dec 25, 2015","15.2865","15.2633","15.2924","15.2071","0.07%"
"Dec 24, 2015","15.2758","15.2018","15.2985","15.1488","0.41%"
"Dec 23, 2015","15.2130","15.1443","15.2825","15.1378","0.34%"
"Dec 22, 2015","15.1610","15.0834","15.2192","15.0556","0.41%"
"Dec 21, 2015","15.0987","15.0639","15.1264","14.9810","0.00%"
"Dec 18, 2015","15.0983","15.2170","15.2514","14.9856","-0.87%"
"Dec 17, 2015","15.2310","14.9287","15.2795","14.8643","1.91%"
"Dec 16, 2015","14.9450","14.9200","15.1121","14.7885","0.11%"
"Dec 15, 2015","14.9290","15.0937","15.1700","14.8380","-1.18%"
"Dec 14, 2015","15.1075","15.2187","15.5020","14.9175","-4.86%"
"Dec 11, 2015","15.8800","15.4555","16.0265","15.3573","2.67%"
"Dec 10, 2015","15.4665","14.9690","15.4848","14.8516","3.25%"
"Dec 09, 2015","14.9798","14.5979","15.2797","14.5010","2.62%"
"Dec 08, 2015","14.5979","14.4987","14.7035","14.4903","0.40%"
"Dec 07, 2015","14.5401","14.3522","14.5755","14.3307","1.40%"
"Dec 04, 2015","14.3393","14.3492","14.4745","14.2676","-0.19%"
"Dec 03, 2015","14.3673","14.3450","14.4043","14.2422","0.12%"
"Dec 02, 2015","14.3500","14.4255","14.4670","14.3063","-0.60%"
"Dec 01, 2015","14.4365","14.4377","14.5080","14.3592","-0.11%"
"Nov 30, 2015","14.4529","14.3787","14.4954","14.3475","0.32%"
"Nov 27, 2015","14.4061","14.2843","14.4210","14.2528","0.81%"
"Nov 26, 2015","14.2905","14.1355","14.2975","14.0880","1.17%"
"Nov 25, 2015","14.1251","14.0288","14.1745","13.9941","0.58%"
"Nov 24, 2015","14.0438","14.0817","14.1675","13.9640","-0.30%"
"Nov 23, 2015","14.0858","13.9350","14.1150","13.9350","0.96%"
"Nov 20, 2015","13.9525","14.0232","14.0582","13.8843","-0.55%"
"Nov 19, 2015","14.0300","14.1622","14.2285","13.9932","-0.97%"
"Nov 18, 2015","14.1673","14.2675","14.3245","14.1475","-0.74%"
"Nov 17, 2015","14.2725","14.3100","14.4000","14.2010","-0.29%"
"Nov 16, 2015","14.3138","14.3950","14.4465","14.2975","-0.61%"
"Nov 13, 2015","14.4019","14.2912","14.4317","14.2649","0.64%"
"Nov 12, 2015","14.3105","14.1459","14.3425","14.0675","1.12%"
"Nov 11, 2015","14.1525","14.2624","14.2758","14.1375","-0.80%"
"Nov 10, 2015","14.2667","14.2952","14.3875","14.2305","-0.23%"
"Nov 09, 2015","14.3002","14.2022","14.3380","14.0885","1.00%"
"Nov 06, 2015","14.1585","13.8863","14.2077","13.8650","1.94%"
"Nov 05, 2015","13.8894","13.9557","14.0030","13.8575","-0.51%"
"Nov 04, 2015","13.9603","13.7300","13.9925","13.7220","1.60%"
"Nov 03, 2015","13.7401","13.7775","13.9413","13.7175","-0.31%"
"Nov 02, 2015","13.7832","13.8075","13.8445","13.7193","-0.30%"
"Oct 30, 2015","13.8247","13.8777","13.9076","13.7607","-0.50%"
"Oct 29, 2015","13.8945","13.7117","13.9183","13.6832","1.32%"
"Oct 28, 2015","13.7130","13.6641","13.8093","13.5130","0.28%"
"Oct 27, 2015","13.6753","13.6240","13.7735","13.6050","0.27%"
"Oct 26, 2015","13.6389","13.6264","13.7035","13.5589","0.02%"
"Oct 23, 2015","13.6360","13.3896","13.7042","13.3135","1.72%"
"Oct 22, 2015","13.4055","13.5135","13.6145","13.3767","-0.91%"
"Oct 21, 2015","13.5285","13.2831","13.5529","13.2350","1.74%"
"Oct 20, 2015","13.2971","13.2847","13.3392","13.1705","0.05%"
"Oct 19, 2015","13.2907","13.0537","13.3071","13.0068","1.60%"
"Oct 16, 2015","13.0814","13.0329","13.1705","13.0285","0.25%"
"Oct 15, 2015","13.0487","13.2219","13.2458","13.0158","-1.42%"
"Oct 14, 2015","13.2369","13.5445","13.5700","13.2000","-2.38%"
"Oct 13, 2015","13.5600","13.3211","13.5712","13.2972","1.80%"
"Oct 12, 2015","13.3198","13.3155","13.3895","13.2472","-0.24%"
"Oct 09, 2015","13.3522","13.3023","13.3917","13.2349","0.33%"
"Oct 08, 2015","13.3089","13.4608","13.5465","13.2885","-1.17%"
"Oct 07, 2015","13.4658","13.5055","13.5631","13.3360","-0.39%"
"Oct 06, 2015","13.5183","13.6023","13.7335","13.4975","-0.69%"
"Oct 05, 2015","13.6126","13.7128","13.7927","13.5200","-0.87%"
"Oct 02, 2015","13.7320","13.9135","14.0325","13.7114","-1.36%"
"Oct 01, 2015","13.9209","13.8405","13.9500","13.7122","0.47%"
"Sep 30, 2015","13.8556","13.9661","14.0125","13.7924","-0.84%"
"Sep 29, 2015","13.9736","14.0456","14.1725","13.8796","-0.66%"
"Sep 28, 2015","14.0671","13.8982","14.1017","13.7960","1.10%"
"Sep 25, 2015","13.9135","13.8283","13.9570","13.7179","0.50%"
"Sep 24, 2015","13.8438","13.8545","14.0876","13.8100","-0.15%"
"Sep 23, 2015","13.8640","13.6677","13.8820","13.6305","1.36%"
"Sep 22, 2015","13.6774","13.4571","13.7595","13.4073","1.54%"
"Sep 21, 2015","13.4694","13.2985","13.5029","13.2745","1.08%"
"Sep 18, 2015","13.3255","13.3450","13.3596","13.1666","-0.20%"
"Sep 17, 2015","13.3521","13.2542","13.4180","13.1575","0.64%"
"Sep 16, 2015","13.2669","13.4536","13.5050","13.2475","-1.50%"
"Sep 15, 2015","13.4688","13.4823","13.5600","13.4053","-0.12%"
