"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2017","55,579.92","55,300.88","55,677.52","54,993.94","308.66M","1.06%"
"Sep 28, 2017","54,994.35","55,258.23","55,258.23","54,941.64","286.48M","-0.40%"
"Sep 27, 2017","55,214.07","55,258.93","55,333.46","55,114.20","276.35M","0.26%"
"Sep 26, 2017","55,070.38","55,423.38","55,423.38","54,894.11","275.98M","-1.38%"
"Sep 22, 2017","55,839.73","55,749.23","55,903.18","55,544.75","229.95M","-0.05%"
"Sep 21, 2017","55,867.34","55,867.46","56,072.20","55,703.42","846.77M","-0.00%"
"Sep 20, 2017","55,867.46","55,880.70","56,026.85","55,705.71","265.09M","-0.26%"
"Sep 19, 2017","56,011.16","56,103.17","56,144.13","55,714.71","281.62M","-0.07%"
"Sep 18, 2017","56,050.10","55,992.03","56,209.57","55,907.14","211.27M","0.73%"
"Sep 15, 2017","55,645.15","55,824.51","55,856.11","55,526.14","494.36M","-0.37%"
"Sep 14, 2017","55,850.32","56,025.30","56,025.30","55,658.37","325.14M","-0.54%"
"Sep 13, 2017","56,152.54","56,331.85","56,426.27","56,152.54","245.98M","-0.38%"
"Sep 12, 2017","56,366.16","56,126.55","56,484.73","56,126.55","186.30M","0.64%"
"Sep 11, 2017","56,008.77","55,928.96","56,107.77","55,867.52","323.43M","0.51%"
"Sep 08, 2017","55,724.67","55,849.44","55,911.45","55,626.66","293.66M","-0.27%"
"Sep 07, 2017","55,878.19","55,328.66","55,927.91","55,149.41","249.15M","0.72%"
"Sep 06, 2017","55,480.20","55,966.12","55,966.12","55,426.79","445.61M","-1.18%"
"Sep 05, 2017","56,144.80","56,236.54","56,377.60","56,144.80","249.74M","-0.30%"
"Sep 04, 2017","56,312.85","56,343.03","56,520.80","56,159.39","183.64M","-0.35%"
"Sep 01, 2017","56,513.46","56,602.19","56,655.09","56,433.36","210.88M","-0.02%"
"Aug 31, 2017","56,522.11","56,199.70","56,538.30","56,196.95","353.73M","0.63%"
"Aug 30, 2017","56,168.00","56,668.43","56,711.27","56,144.32","242.73M","-0.43%"
"Aug 29, 2017","56,409.62","56,384.29","56,414.90","56,066.78","301.97M","-0.26%"
"Aug 28, 2017","56,555.62","56,499.91","56,695.91","56,436.90","160.06M","-0.18%"
"Aug 25, 2017","56,655.88","56,474.08","56,896.89","56,474.08","245.99M","0.12%"
"Aug 24, 2017","56,588.99","56,162.97","56,713.97","56,162.75","395.20M","0.76%"
"Aug 23, 2017","56,162.30","55,918.08","56,326.03","55,918.08","264.26M","0.23%"
"Aug 22, 2017","56,033.96","55,757.24","56,071.90","55,717.29","246.76M","1.05%"
"Aug 21, 2017","55,450.53","55,402.34","55,640.07","55,402.34","180.52M","0.26%"
"Aug 18, 2017","55,304.23","55,239.62","55,477.79","55,193.09","188.46M","-0.20%"
"Aug 17, 2017","55,415.27","55,535.80","55,807.29","55,315.00","205.83M","-0.21%"
"Aug 16, 2017","55,534.60","55,120.13","55,631.97","55,120.13","245.24M","1.00%"
"Aug 15, 2017","54,983.32","55,471.77","55,497.64","54,983.32","192.66M","-0.87%"
"Aug 14, 2017","55,465.65","55,435.49","55,663.28","55,432.86","193.52M","0.56%"
"Aug 11, 2017","55,155.13","55,128.97","55,305.45","55,022.98","198.25M","-0.98%"
"Aug 10, 2017","55,700.64","56,138.27","56,175.95","55,563.71","225.48M","-0.50%"
"Aug 08, 2017","55,980.05","56,342.27","56,342.27","55,899.46","291.73M","-0.33%"
"Aug 07, 2017","56,163.60","56,377.28","56,396.24","56,072.86","228.01M","0.39%"
"Aug 04, 2017","55,944.83","55,874.78","56,032.91","55,769.69","240.00M","0.47%"
"Aug 03, 2017","55,685.01","55,432.52","55,687.82","55,317.60","292.62M","0.88%"
"Aug 02, 2017","55,200.49","55,347.18","55,554.23","55,151.46","273.96M","-0.34%"
"Aug 01, 2017","55,390.07","55,328.98","55,392.19","55,082.91","269.28M","0.33%"
"Jul 31, 2017","55,207.41","55,281.46","55,366.74","55,081.78","309.86M","0.59%"
"Jul 28, 2017","54,883.21","54,520.60","54,933.88","54,520.60","227.46M","-0.01%"
"Jul 27, 2017","54,888.89","55,074.13","55,222.81","54,794.03","267.97M","0.10%"
"Jul 26, 2017","54,836.19","54,475.73","54,914.02","54,424.46","208.53M","0.62%"
"Jul 25, 2017","54,499.11","54,428.74","54,802.03","54,396.96","187.34M","0.24%"
"Jul 24, 2017","54,368.62","54,293.29","54,579.55","54,288.66","-","0.38%"
"Jul 21, 2017","54,162.71","54,275.24","54,679.87","54,112.14","190.00M","-0.23%"
"Jul 20, 2017","54,287.32","54,087.95","54,499.20","54,087.95","211.31M","0.36%"
"Jul 19, 2017","54,091.11","53,751.76","54,123.02","53,691.86","253.14M","1.56%"
"Jul 18, 2017","53,261.64","53,610.76","53,666.24","53,237.27","171.96M","-1.05%"
"Jul 17, 2017","53,827.41","53,695.46","53,827.41","53,521.64","204.94M","0.43%"
"Jul 14, 2017","53,597.96","53,236.31","53,597.96","53,191.08","189.79M","0.56%"
"Jul 13, 2017","53,300.96","52,944.35","53,300.96","52,944.35","223.41M","0.75%"
"Jul 12, 2017","52,905.98","52,579.11","52,976.43","52,519.98","-","1.01%"
"Jul 11, 2017","52,376.38","52,653.37","52,748.15","52,308.47","262.40M","0.36%"
"Jul 10, 2017","52,187.92","52,034.07","52,187.92","51,782.91","158.32M","0.55%"
"Jul 07, 2017","51,900.26","52,283.75","52,283.75","51,725.48","206.16M","-0.74%"
