"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2017","82,044","80,436","82,175","80,257","641.98K","2.36%"
"Aug 23, 2017","80,150","80,700","81,302","80,027","664.84K","-1.23%"
"Aug 22, 2017","81,152","81,050","81,604","80,984","309.42K","0.19%"
"Aug 21, 2017","81,000","80,550","81,173","80,269","502.29K","0.48%"
"Aug 18, 2017","80,615","82,000","82,225","80,423","622.26K","-2.05%"
"Aug 17, 2017","82,300","82,551","83,100","81,964","470.30K","-0.45%"
"Aug 16, 2017","82,670","83,333","83,693","82,626","461.17K","-1.74%"
"Aug 15, 2017","84,134","83,750","84,930","83,503","317.27K","0.46%"
"Aug 14, 2017","83,750","85,000","85,000","83,601","608.92K","-1.25%"
"Aug 11, 2017","84,809","84,650","85,604","84,101","775.57K","-0.12%"
"Aug 10, 2017","84,914","86,600","86,741","84,914","617.30K","-1.06%"
"Aug 08, 2017","85,824","87,000","87,000","85,380","558.99K","-1.84%"
"Aug 07, 2017","87,435","88,831","88,831","86,702","489.76K","-0.65%"
"Aug 04, 2017","88,005","87,811","89,193","87,700","1.04M","0.75%"
"Aug 03, 2017","87,350","84,790","87,350","84,790","1.07M","3.59%"
"Aug 02, 2017","84,322","83,680","85,116","83,680","987.00K","0.14%"
"Aug 01, 2017","84,201","82,499","84,666","81,500","2.36M","2.03%"
"Jul 31, 2017","82,522","85,205","85,205","81,400","2.40M","-1.99%"
"Jul 28, 2017","84,196","90,562","91,352","78,438","1.73M","-7.03%"
"Jul 27, 2017","90,562","90,350","92,727","90,041","334.86K","-0.35%"
"Jul 26, 2017","90,876","90,500","91,746","90,471","321.05K","1.03%"
"Jul 25, 2017","89,950","91,265","91,477","89,394","635.45K","-1.67%"
"Jul 24, 2017","91,477","91,845","93,214","91,043","565.86K","-0.40%"
"Jul 21, 2017","91,845","91,470","92,472","91,173","278.37K","0.47%"
"Jul 20, 2017","91,415","89,786","91,825","89,683","677.47K","2.14%"
"Jul 19, 2017","89,500","88,300","89,617","88,083","676.14K","1.33%"
"Jul 18, 2017","88,327","89,155","89,155","88,164","377.79K","-1.49%"
"Jul 17, 2017","89,665","89,800","90,449","89,366","370.81K","-0.15%"
"Jul 14, 2017","89,800","89,500","90,480","89,101","371.22K","-0.85%"
"Jul 13, 2017","90,572","90,476","90,666","89,700","522.89K","0.39%"
"Jul 12, 2017","90,219","90,100","90,700","89,723","359.76K","0.31%"
